name,city,publisher,url,views,created_at,age_days
,Casablanca,BTrans passif,https://ma.afribaba.com/casablanca/-trans-travesti--587409.html,148066167,2026-09-03T15:27:00,17.9
,BelvédèreCasablanca,PLolo Casa,https://ma.afribaba.com/casablanca/-trans-gay-casablanca-577703.html,78178392,2026-09-21T10:59:54.333428,0.0
,Casablanca,PTransexuel Ssosso,https://ma.afribaba.com/casablanca/gay-travesti-casablanca-566538.html,51152402,2026-09-18T19:47:00,2.7
,Casablanca,BVip pro,https://ma.afribaba.com/casablanca/finition--629367.html,45301302,2026-09-20T18:57:00,0.7
,Casablanca,PTravesti Ahlam,https://ma.afribaba.com/casablanca/--509104.html,16179634,2026-07-03T14:21:00,79.9
,Casablanca,BMassage Vip,https://ma.afribaba.com/casablanca/-spa--281013.html,15156271,2026-08-15T14:25:00,36.9
,BourgogneCasablanca,PAnounymous Anounymous,https://ma.afribaba.com/casablanca/lolita-transsexuals--595900.html,13884911,2026-08-05T05:48:00,47.3
,Casablanca,BMassage Vip,https://ma.afribaba.com/casablanca/-votre-masseuse-fidele-a-votre-ecoute--180213.html,12003451,2026-09-21T11:05:56.635646,0.0
,Derb GhallefCasablanca,BMassage Vip,https://ma.afribaba.com/casablanca/-le-quatro-sexy-et-polyvalent-reel-photo--185399.html,11889526,2026-08-15T14:22:00,36.9
,Racine (Casablanca)Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/new-spa-plein-de-joie--191177.html,11359414,2026-09-20T14:26:00,0.9
,Racine (Casablanca)Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-la-sexy-masseuse-adolescente--181313.html,11171265,2026-09-21T10:57:11.619934,0.0
,Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-promotion-de-3id-chez-nous--191173.html,10724664,2026-07-17T16:42:00,65.8
,Casablanca,BMassage Vip,https://ma.afribaba.com/casablanca/-massage-des-reves--180227.html,9862178,2026-09-20T13:49:00,0.9
,Racine (Casablanca)Casablanca,BMassage Vip,https://ma.afribaba.com/casablanca/-la-hot-bresilienne-hard-body--180211.html,7881434,2026-09-20T13:42:00,0.9
,Racine (Casablanca)Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-deux-big-masseuse-vip--178775.html,7320284,2026-09-20T14:14:00,0.9
,Casablanca,BMiss love,https://ma.afribaba.com/casablanca/viens-aux-pieds-de-ta-dominatrice-483972.html,6215175,2026-09-21T10:46:59.074156,0.1
,BourgogneCasablanca,PAnass Kaf,https://ma.afribaba.com/casablanca/--606609.html,4878510,2026-09-14T20:35:00,6.6
,BelvédèreCasablanca,PRacha Racha,https://ma.afribaba.com/casablanca/-gay-trans-traviste-j-amp-039-ahite-seule--635979.html,4435360,2026-02-01T21:26:00,231.6
,Casablanca,PBlack Friday,https://ma.afribaba.com/casablanca/ajiw-endi-telegram-akbidat-683390.html,4220518,2026-09-21T11:14:58.457863,0.0
,Casablanca,BLove sexy,https://ma.afribaba.com/casablanca/dominatrice-blonde-intransigeante-depourvue-de-scrupule-et-pitie-480492.html,3390669,2026-09-09T14:54:00,11.9
,Racine (Casablanca)Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-your-best-plan-with-souky--180863.html,3275930,2026-09-21T10:39:00.124176,0.1
,CIL (Casablanca)Casablanca,PJolya,https://ma.afribaba.com/casablanca/jolya-travesti-ma3qola--366301.html,3183596,2024-01-01T00:38:00,994.5
,Aïn DiabCasablanca,BNafis Hajar,https://ma.afribaba.com/casablanca/hajar-packs-et-sexcam-je-suis-disponible-sur-telegram-ajii-bb-419944.html,2699526,2026-02-19T23:17:00,213.5
,OulfaCasablanca,PSexy Packs,https://ma.afribaba.com/casablanca/aji-abb-njibuuuh-bjuj-f-appel-video--645247.html,2699194,2026-09-21T10:43:00.555444,0.1
,Casablanca,Pmalak work,https://ma.afribaba.com/casablanca/faty-ain-sebaa-24h--427081.html,2274515,2024-06-08T22:12:00,834.6
,BourgogneCasablanca,PSara Khatib,https://ma.afribaba.com/casablanca/massage-avec-sara-amp-dina-adomicile-chez-moi-24-24-330463.html,2173083,2023-10-08T20:41:00,1078.6
,BourgogneCasablanca,PImane Sabah,https://ma.afribaba.com/casablanca/slt-massage-a-domicile-imane-moi-avec-ma-copine-24h-24-309715.html,1931190,2023-08-15T02:30:00,1133.4
,BourgogneCasablanca,PBlack Friday,https://ma.afribaba.com/casablanca/sifto-lia-msg-f-telegram-687934.html,1919187,2026-09-21T11:02:02.166879,0.0
,Casablanca,BDream centre Spa,https://ma.afribaba.com/casablanca/-massage-chaleureux-avec-masseuse-trop-chaude--180733.html,1799911,2026-07-28T11:25:00,55.0
,Casablanca,BLadyboy,https://ma.afribaba.com/casablanca/plaisir-inoubliable-avec-trans--677824.html,1737061,2026-07-06T18:16:00,76.7
,Casablanca,PJamila Abdo,https://ma.afribaba.com/casablanca/travesti-ma3qol-286003.html,1628237,2023-09-23T15:01:00,1093.9
,Hay SalamaCasablanca,Psex top,https://ma.afribaba.com/casablanca/massage-sensuel-688458.html,1296450,2026-09-07T15:37:00,13.8
,Casablanca,BMeskini Rania,https://ma.afribaba.com/casablanca/rania-akber-wehda-f-telegram-kandir-les-packs-et-les-appel-video--680302.html,1286475,2026-04-05T20:36:00,168.6
,Derb GhallefCasablanca,PFati,https://ma.afribaba.com/casablanca/fati-disponible-a-domicil-nji-hta-3endk--397391.html,1268763,2024-04-20T15:58:00,883.8
,OulfaCasablanca,PAmora Amina,https://ma.afribaba.com/casablanca/--640563.html,953756,2025-12-16T16:46:00,278.8
,Casablanca,PHibalove,https://ma.afribaba.com/casablanca/24h-24h-hiba-love-vous-attend-massage-relax-288181.html,914182,2023-06-10T01:35:00,1199.4
,Sidi MaâroufCasablanca,PRima Camelia,https://ma.afribaba.com/casablanca/mimi-la-blonde-finition-inoubliable-477061.html,860622,2024-12-13T00:21:00,647.5
,Casablanca,BQueen sexy,https://ma.afribaba.com/casablanca/ta-soumission-ma-passion-viens-je-vais-te-pervertir-maitresse-sara-483147.html,845061,2026-09-09T14:54:00,11.9
,SbataCasablanca,PBasma222,https://ma.afribaba.com/casablanca/mrahba-hbibi-pour-un-massage-profesional-je-me-deplace-chez-vous-hb-185747.html,774772,2022-03-17T22:49:00,1648.5
,Sidi MaâroufCasablanca,Pdiagana,https://ma.afribaba.com/casablanca/massage-chez-myma-659247.html,629974,2026-02-02T20:11:00,230.7
,Casablanca,BRositaben,https://ma.afribaba.com/casablanca/appel-video-pack-aji-nthla-fik--690014.html,622259,2026-04-21T23:49:00,152.5
,Casablanca,BPlaisir Intense,https://ma.afribaba.com/casablanca/moneymiss-pour-vrai-moneyslave-qui-aime-raquer-486283.html,620148,2026-09-02T15:24:00,18.9
,Casablanca,BRacha Racha,https://ma.afribaba.com/casablanca/-gay-704189.html,587131,2026-09-20T18:57:00,0.7
